und_umls_cuii,ind_umls_pt,ind_umls_sem_typ1
C0031190,Persistent Fetal Circulation Syndrome,Congenital Abnormality
C0042024,Urinary Incontinence,Pathologic Function
C0279754,Estrogen Receptor Positive,Laboratory or Test Result
C0597835,Pain Relieving Agent (Centrally Acting),Pharmacologic Substance
C2013537,Inflammation Of Oral Vestibule,Finding
C1290158,Acute Bursitis,Disease or Syndrome
C0002171,Alopecia Areata,Disease or Syndrome
C1333190,Cystic Neoplasm,Neoplastic Process
C0014488,Epicondylitis,Disease or Syndrome
C0522570,Focal Inflammation,Finding
C0085074,Granuloma Annulare,Disease or Syndrome
C0022548,Keloid,Acquired Abnormality
C1258666,Myxoid Cyst,Acquired Abnormality
C0392445,Necrobiosis Lipoidica Diabeticorum,Disease or Syndrome
C0027822,Neurodermatitis,Disease or Syndrome
C0149896,Primary Gout,Disease or Syndrome
C0333427,Proliferative Inflammation,Disease or Syndrome
C0920235,Psoriatic Plaque,Disease or Syndrome
C1290159,Subacute Bursitis,Disease or Syndrome
C0039520,Tenosynovitis,Disease or Syndrome
C0274928,Copper Poisoning,Injury or Poisoning
C0019202,Hepatolenticular Degeneration,Disease or Syndrome
C0030568,Parkinson Disease; Postencephalitic,Disease or Syndrome
C0003486,Aortic Aneurysm,Disease or Syndrome
C0017160,Gastroenteritis,Disease or Syndrome
C0027932,Neurotic Disorders,Mental or Behavioral Dysfunction
C0010096,Luteolysis,Organ or Tissue Function
C1819179,Gonadotropin Secretion,Organ or Tissue Function
C1258221,Lawsonia Infections,Disease or Syndrome
C0026936,Mycoplasma Infections,Disease or Syndrome
C0275986,Porcine Intestinal Adenomatosis,Disease or Syndrome
C0275879,Porcine Ulcerative Spirochetosis,Disease or Syndrome
C0276053,Enzootic Mycoplasmal Pneumonia Of Swine,Disease or Syndrome
C2246544,Progesterone Receptor Binding,Molecular Function
C1373075,Hormone Receptor Modulators,Molecular Function
C0274576,Poisoning By Fluorouracil,Injury or Poisoning
C0751651,Mitochondrial Diseases,Disease or Syndrome
C0524910,Hepatitis C; Chronic,Disease or Syndrome
C2247630,Rna Polymerase Activity,Molecular Function
C0019196,Hepatitis C,Disease or Syndrome
C1152757,Thromboxane A2 Receptor Activity,Molecular Function
C2062316,Acute Bleeding Esophageal Varices,Disease or Syndrome
C0020541,Hypertension; Portal,Disease or Syndrome
C0242339,Dyslipidemias,Disease or Syndrome
C1149846,Secreted Phospholipase A2 Activity,Molecular Function
C3271836,C-C Motif Chemokine 5 Receptor Activity,Molecular Function
C0085669,Acute Leukemia,Neoplastic Process
C0027708,Nephroblastoma,Neoplastic Process
C0035412,Rhabdomyosarcoma,Neoplastic Process
C0007131,Non-Small Cell Lung Carcinoma,Neoplastic Process
C1336869,Unresectable Malignant Neoplasm,Neoplastic Process
C0278987,Non-Small Cell Lung Cancer Metastatic,Neoplastic Process
C0278506,Non-Small Cell Lung Cancer Stage Iii,Neoplastic Process
C1096119,Cardiac Valve Replacement Complication,Injury or Poisoning
C2882123,Recurrent Myocardial Infarction,Disease or Syndrome
C1095929,Coronary Artery Reocclusion,Disease or Syndrome
C0221263,Cafe-Au-Lait Spots,Finding
C0037286,Skin Neoplasms,Neoplastic Process
C0151785,Disease Of Mucous Membrane,Disease or Syndrome
C0281980,Injury Of Integument,Injury or Poisoning
C0600688,Toxic Effect,Injury or Poisoning
C0037299,Skin Ulcer,Disease or Syndrome
C0770327,Zinc-Eugenol Cement,Biomedical or Dental Material
C0235950,Zinc Deficiency,Disease or Syndrome
C0580491,Serum Zinc Level Low,Finding
C0863093,Cold Symptoms,Disease or Syndrome
C0700148,Congestion,Pathologic Function
C0406175,Chafing Of Skin,Acquired Abnormality
C0860437,Poison Oak Rash,Disease or Syndrome
C0231341,Premature Aging Syndrome,Disease or Syndrome
C0037301,Skin Wrinkling,Finding
C0850866,Solar Skin Damage,Neoplastic Process
C0332804,Superficial Wound,Injury or Poisoning
C0042344,Varicose Ulcer,Acquired Abnormality
C1830752,Wetness,Finding
C1639528,Dusting Powder Agent,Pharmacologic Substance
C0015393,Eye Abnormalities,Congenital Abnormality
C0232635,Sodium Hydrogen Exchange,Organ or Tissue Function
C1753353,P-Glycoprotein Activity,Molecular Function
C0028953,Oligonucleotides,Nucleic Acid; Nucleoside; or Nucleotide
C0343641,Human Papilloma Virus Infection,Disease or Syndrome
C1148813,Ribonuclease H Activity,Genetic Function
C0003072,Anion Exchange Resins,Biomedical or Dental Material
C0740692,Oncology Problem,Neoplastic Process
C1527402,Narcotic Dependence,Mental or Behavioral Dysfunction
C0018801,Heart Failure,Disease or Syndrome
C0070099,Parathyroid Hormone-Related Protein,Hormone
C0417747,Bite Of Sandfly,Finding
C0236100,Female Reproductive System Disorder,Disease or Syndrome
C0012359,Pathological Dilatation,Pathologic Function
C0274591,Poisoning By Heparin,Injury or Poisoning
C0043117,Purpura; Thrombocytopenic; Idiopathic,Disease or Syndrome
C0040034,Thrombocytopenia,Finding
C0023895,Liver Diseases,Disease or Syndrome
C1513327,Chemoprotective Agent,Pharmacologic Substance
C0154251,Lipid Metabolism Disorders,Disease or Syndrome
C1149503,Integrin Binding,Molecular Function
C0001829,Agriculture,Occupation or Discipline
C0026229,Mite Infestations,Disease or Syndrome
C0020502,Hyperparathyroidism,Disease or Syndrome
C0028077,Night Blindness,Disease or Syndrome
C0035579,Rickets,Disease or Syndrome
C0037285,Skin Manifestations,Sign or Symptom
C0042842,Vitamin A Deficiency,Disease or Syndrome
C0043349,Xerophthalmia,Disease or Syndrome
C0010054,Coronary Arteriosclerosis,Disease or Syndrome
C0154199,Disease Of Thymus Gland,Disease or Syndrome
C0015544,Failure To Thrive,Disease or Syndrome
C0033626,Protein Deficiency,Disease or Syndrome
C0154091,Carcinoma In Situ Of Bladder,Neoplastic Process
C0476073,Papillary Neoplasm,Neoplastic Process
C0521158,Recurrent Tumor,Neoplastic Process
C0005695,Bladder Neoplasm,Neoplastic Process
C0020445,Hypercholesterolemia; Familial,Disease or Syndrome
C0006057,Botulism,Injury or Poisoning
C2613221,Mitochondrial Atp Synthesis Coupled Electron Transport,Molecular Function
C0948645,Kidney Graft Dysfunction,Pathologic Function
C0920324,Homeopathic Remedies,Pharmacologic Substance
C0020179,Huntington Disease,Disease or Syndrome
C0012546,Diphtheria,Disease or Syndrome
C0678210,Passive Immunity; Function,Organism Function
C1258036,Vascular Endothelium-Dependent Relaxation,Organ or Tissue Function
C0001801,Agglutination,Molecular Function
C0018903,Hemagglutination,Molecular Function
C0021359,Infertility,Disease or Syndrome
C3179504,Incretin Effect,Physiologic Function
C0019163,Hepatitis B,Disease or Syndrome
C1150130,Caspase Activity,Molecular Function
C1149069,Aromatase Activity,Molecular Function
C0848464,Clogged Ear,Sign or Symptom
C0015264,Exertion,Organism Function
C0015672,Fatigue,Sign or Symptom
C2109270,Keep Water Out Of Ears,Health Care Activity
C0301616,Overexertion,Pathologic Function
C0024198,Lyme Disease,Disease or Syndrome
C0015734,Fecal Impaction,Finding
C0392503,Impaction Of Intestine,Finding
C0021843,Intestinal Obstruction,Disease or Syndrome
C0266805,Disorder Of Lower Gastrointestinal Tract,Disease or Syndrome
C1168325,Postprandial Emesis,Sign or Symptom
C1636159,Emollient Cathartic,Pharmacologic Substance
C1864158,Immediate (Type I) Skin Test Reactivity,Finding
C0026780,Mumps,Disease or Syndrome
C0031911,Pigmentation,Physiologic Function
C0852112,Neonatal Hypoxic Conditions,Disease or Syndrome
C0521648,Neonatal Respiratory Failure,Disease or Syndrome
C0021289,Infant; Newborn,Age Group
C0035220,Respiratory Distress Syndrome; Newborn,Disease or Syndrome
C0001957,Alcohol Withdrawal Delirium,Disease or Syndrome
C0021308,Infarction,Pathologic Function
C0043167,Pertussis,Disease or Syndrome
C0001118,Acid-Base Imbalance,Pathologic Function
C0032064,Plague,Disease or Syndrome
C0546884,Hypovolemia,Finding
C0428489,Plasma Proteins Low,Finding
C1260871,Acetonemia,Disease or Syndrome
C0022638,Ketosis,Disease or Syndrome
C1318469,Lubrication Procedure,Therapeutic or Preventive Procedure
C0175717,Surgical Jelly,Biomedical or Dental Material
C0034494,Rabies (Disorder),Disease or Syndrome
C0175716,Carbon Dioxide Absorbent,Biomedical or Dental Material
C0041466,Typhoid Fever,Disease or Syndrome
C0031762,Photosensitivity Disorders,Disease or Syndrome
C0085677,Alcoholic Neuropathy,Disease or Syndrome
C0002892,Anemia; Pernicious,Disease or Syndrome
C0011882,Diabetic Neuropathies,Disease or Syndrome
C0042847,Vitamin B 12 Deficiency,Disease or Syndrome
C0033046,Premenstrual Syndrome,Disease or Syndrome
C0002878,Anemia; Hemolytic,Disease or Syndrome
C0006287,Bronchopulmonary Dysplasia,Disease or Syndrome
C0013386,Dyskinesia; Drug-Induced,Disease or Syndrome
C0042875,Vitamin E Deficiency,Disease or Syndrome
C0681579,Vitamin Supplement,Food
C0000771,Abnormalities; Drug-Induced,Congenital Abnormality
C0020640,Inherited Factor Ii Deficiency,Disease or Syndrome
C0021295,Infant; Premature; Diseases,Disease or Syndrome
C0043395,Yellow Fever,Disease or Syndrome
C0042485,Venous Insufficiency,Disease or Syndrome
C3495898,Dental Restoration Damage,Finding
C0019521,Hiccup,Finding
C0023048,Larva Migrans,Disease or Syndrome
C0038218,Status Asthmaticus,Disease or Syndrome
C0028911,Ointment Bases,Biomedical or Dental Material
C2979985,Biological Agents,Pharmacologic Substance
C2260369,Phosphatidylinositol Kinase Activity,Molecular Function
C2266880,Peroxisome Proliferator-Activated Receptor Activity [Moa],Molecular Function
C2257759,5-Lipoxygenase Activity,Molecular Function
C2267172,Prostacyclin Receptor Agonists,Molecular Function
C0016085,Filariasis,Disease or Syndrome
C0162638,Apoptosis,Cell Function
C0034525,Effects Of Radiation,Biologic Function
C0238452,Thallium Poisoning,Injury or Poisoning
C1753335,Ryanodine Receptor Activity,Molecular Function
C0729527,Bacterial Oral Infection,Disease or Syndrome
C0041234,Chagas Disease,Disease or Syndrome
C0242781,Disease Transmission,Pathologic Function
C0006849,Oral Candidiasis,Disease or Syndrome
C0877048,Oral Fungal Infection,Disease or Syndrome
C0006845,Candidiasis; Chronic Mucocutaneous,Disease or Syndrome
C0016461,Food Coloring Agents,Chemical Viewed Functionally
C0472781,Drug-Induced Methemoglobinemia,Pathologic Function
C0010520,Cyanosis,Sign or Symptom
C0019348,Herpes Simplex Infections,Disease or Syndrome
C0023869,Lithiasis,Pathologic Function
C0025637,Methemoglobinemia,Disease or Syndrome
C0011923,Diagnostic Imaging,Diagnostic Procedure
C0151583,Cerebrospinal Fluid Abnormality,Finding
C0360048,Diagnostic Radioisotope,Pharmacologic Substance
C0206754,Neuroendocrine Tumors,Neoplastic Process
C2728338,Metastatic Secondary Neuroendocrine Tumor,Neoplastic Process
C0023889,Liver Circulation,Organ or Tissue Function
C0596551,Eye Circulation Disorder,Disease or Syndrome
C1512628,Imaging Agent,Indicator; Reagent; or Diagnostic Aid
C2919051,Ischemic Myocardium,Finding
C0011913,Diagnostic Techniques; Obstetrical And Gynecological,Diagnostic Procedure
C0232786,Pancreatic Function,Organ or Tissue Function
C0553662,Arthritis; Juvenile Rheumatoid,Disease or Syndrome
C0409667,Juvenile Chronic Polyarthritis,Disease or Syndrome
C0516981,Physical Function,Finding
C0161816,Cardiac Complication,Pathologic Function
C0022116,Ischemia,Disease or Syndrome
C0151744,Myocardial Ischemia,Disease or Syndrome
C0949445,Cervical Dystonia,Sign or Symptom
C0948887,Glabellar Frown Lines,Pathologic Function
C0002736,Amyotrophic Lateral Sclerosis,Disease or Syndrome
C1150039,Alpha-Amylase Activity,Molecular Function
C2260873,Alpha-Glucoside Hydrolase Activity,Molecular Function
C0013218,Combination Drug Therapy,Therapeutic or Preventive Procedure
C1150054,Glucosidase Activity,Molecular Function
C1150055,Alpha-Glucosidase Activity,Molecular Function
C0042514,Tachycardia; Ventricular,Pathologic Function
C0085164,Leukemia; Feline,Neoplastic Process
C2257306,Nad(P)H-Quinone Oxidoreductase Activity,Molecular Function
C0851578,Sleep Disorders,Disease or Syndrome
C1622443,Cytochrome Bc1 Complex Activity,Molecular Function
C0281856,Generalized Aches And Pains,Sign or Symptom
C1698508,Premenstrual Cramps,Disease or Syndrome
C0000970,Acetaminophen,Pharmacologic Substance
C0238284,Acute Mountain Sickness,Disease or Syndrome
C0002351,Altitude Sickness,Disease or Syndrome
C1836537,Adult Onset,Finding
C0011253,Delusions,Mental or Behavioral Dysfunction
C1855263,Disorganized Thinking,Finding
C0558072,False Perception,Mental or Behavioral Dysfunction
C0018524,Hallucinations,Mental or Behavioral Dysfunction
C0233632,Disturbance In Thinking,Finding
C0572025,Acetaminophen Overdose,Injury or Poisoning
C0542098,Nasal Mucus Increased,Finding
C0002726,Amyloidosis,Disease or Syndrome
C0006267,Bronchiectasis,Disease or Syndrome
C0022672,Kidney Tubular Necrosis; Acute,Disease or Syndrome
C0008049,Chickenpox,Disease or Syndrome
C0019360,Herpes Zoster Disease,Disease or Syndrome
C1151764,Protoporphyrinogen Oxidase Activity,Molecular Function
C1153463,Sodium Channel Activity,Molecular Function
C1153465,Voltage-Gated Sodium Channel Activity,Molecular Function
C0853848,Infection In An Immunocompromised Host,Disease or Syndrome
C1739133,Mucocutaneous Herpes Simplex,Disease or Syndrome
C1274321,Recurrent Herpes Simplex Labialis,Disease or Syndrome
C0010823,Cytomegalovirus Infections,Disease or Syndrome
C0276226,Herpes Encephalitis,Disease or Syndrome
C0149678,Epstein-Barr Virus Infections,Disease or Syndrome
C0019364,Herpes Zoster Ophthalmicus,Disease or Syndrome
C0003872,Arthritis; Psoriatic,Disease or Syndrome
C0010346,Crohn Disease,Disease or Syndrome
C0860444,Acne Papular,Disease or Syndrome
C0221228,Comedo,Acquired Abnormality
C0263443,Pustular Acne,Disease or Syndrome
C0241885,Exercise Intolerance,Sign or Symptom
C0205360,Stable Status,Qualitative Concept
C0039240,Supraventricular Tachycardia,Disease or Syndrome
C0039232,Tachycardia; Atrioventricular Nodal Reentry,Disease or Syndrome
C0039236,Tachycardia; Paroxysmal,Disease or Syndrome
C0043202,Wolff-Parkinson-White Syndrome,Disease or Syndrome
C1566416,Adam Proteins,Enzyme
C0006145,Breast Diseases,Disease or Syndrome
C1327575,Response To Mycotoxin,Cell Function
C0010454,Culture Media,Indicator; Reagent; or Diagnostic Aid
C0024517,Major Depressive Disorder; Single Episode; Unspecified,Mental or Behavioral Dysfunction
C0162585,Ion Transport,Cell Function
C0004669,Bacteroides Infections,Disease or Syndrome
C0008149,Chlamydia Infections,Disease or Syndrome
C0017411,Female Genital Diseases,Disease or Syndrome
C0033817,Pseudomonas Infections,Disease or Syndrome
C0013502,Echinococcosis,Disease or Syndrome
C0013504,Echinococcosis; Hepatic,Disease or Syndrome
C0013505,Echinococcosis; Pulmonary,Acquired Abnormality
C0152068,Echinococcus Granulosus Infection,Disease or Syndrome
C0392661,Infection By Dipylidium Caninum,Disease or Syndrome
C0338437,Neurocysticercosis,Disease or Syndrome
C0473878,Tenia Solium Infection,Disease or Syndrome
C0002831,Ancylostomiasis,Disease or Syndrome
C0009021,Clonorchiasis,Disease or Syndrome
C0017536,Giardiasis,Disease or Syndrome
C0020413,Hymenolepiasis,Disease or Syndrome
C0027528,Necatoriasis,Disease or Syndrome
C0029106,Opisthorchiasis,Disease or Syndrome
C0040553,Toxocariasis,Disease or Syndrome
C0040954,Infection By Trichuris Trichiura,Disease or Syndrome
C0007166,Low Cardiac Output,Finding
C0031154,Peritonitis,Disease or Syndrome
C0015456,Facial Dermatoses,Disease or Syndrome
C0016509,Foot Dermatoses,Disease or Syndrome
C0018567,Hand Dermatoses,Disease or Syndrome
C0023219,Leg Dermatoses,Disease or Syndrome
C0278678,Metastatic Renal Cell Cancer,Neoplastic Process
C0007134,Renal Cell Carcinoma,Neoplastic Process
C0009404,Colorectal Neoplasms,Neoplastic Process
C0025202,Melanoma,Neoplastic Process
C0406317,Chronic Small Plaque Psoriasis,Disease or Syndrome
C1751470,Motilin Receptor Binding,Molecular Function
C0017184,Gastrointestinal Motility,Organ or Tissue Function
C0279694,Monoclonal Antibody Therapy,Therapeutic or Preventive Procedure
C0030186,Paget Disease Extramammary,Neoplastic Process
C0030201,Pain; Postoperative,Sign or Symptom
C0232854,Slowing Of Urinary Stream,Sign or Symptom
C0423595,Sensation As If Bladder Still Full,Finding
C0749948,Urinary Straining,Disease or Syndrome
C0178879,Urinary Tract Obstruction,Disease or Syndrome
C0426385,Urine Stream Interrupted,Finding
C1458140,Bleeding Tendency,Pathologic Function
C1961835,Gaucher Disease; Type 1,Disease or Syndrome
C0019209,Hepatomegaly,Sign or Symptom
C0238644,Profound Anemia,Disease or Syndrome
C0038002,Splenomegaly,Finding
C0037997,Splenic Diseases,Disease or Syndrome
C1969581,Hypertension; Moderate,Finding
C3276943,Hypertension; Mild,Finding
C1150120,Renin Activity,Molecular Function
C0037284,Skin Lesion,Disease or Syndrome
C0520909,Postoperative Nausea And Vomiting,Sign or Symptom
C0596335,Chromophore,Chemical Viewed Functionally
C0549202,Desiccation Eczema,Disease or Syndrome
C1151293,Xanthine Oxidase Activity,Molecular Function
C0744465,Gout Symptomatic,Disease or Syndrome
C0409908,Secondary Gout,Disease or Syndrome
C2955673,Urate Nephropathy,Disease or Syndrome
C0006736,Calculi,Body Substance
C0041364,Tumor Lysis Syndrome,Disease or Syndrome
C0000786,Spontaneous Abortion,Disease or Syndrome
C1740836,Acute Migraine,Disease or Syndrome
C0001818,Agoraphobia,Mental or Behavioral Dysfunction
C0030319,Panic Disorder,Mental or Behavioral Dysfunction
C0018798,Congenital Heart Defects,Congenital Abnormality
C0013274,Patent Ductus Arteriosus,Congenital Abnormality
C0003490,Aortic Arch Syndromes,Disease or Syndrome
C0003492,Aortic Coarctation,Congenital Abnormality
C0152101,Hypoplastic Left Heart Syndrome,Congenital Abnormality
C0243000,Impotence; Vasculogenic,Disease or Syndrome
C0034089,Pulmonary Valve Stenosis,Anatomical Abnormality
C0039685,Tetralogy Of Fallot,Congenital Abnormality
C0243002,Tricuspid Atresia,Congenital Abnormality
C0948008,Ischemic Stroke,Disease or Syndrome
C0003838,Arterial Occlusive Diseases,Disease or Syndrome
